dimension,n,mst
0,128,1.237433
0,256,1.203082
0,512,1.204137
0,1024,1.222874
0,2048,1.184884
0,4096,1.201861
0,8192,1.195291
0,16384,1.202549
0,32768,1.201815
1,128,12.730615
1,256,20.942247
1,512,37.764274
1,1024,66.300242
1,2048,120.325203
1,4096,217.72013
1,8192,400.742447
1,16384,739.177949
1,32768,1378.434863
1,65536,2578.234774
1,131072,4837.940699
1,262144,9101.112713
2,128,7.605693
2,256,10.522449
2,512,15.003169
2,1024,21.133421
2,2048,29.615565
2,4096,41.869926
2,8192,58.849679
2,16384,83.243663
2,32768,117.452952
3,128,17.58267
3,256,28.035902
3,512,43.385215
3,1024,68.361185
3,2048,107.121103
3,4096,169.326194
3,8192,266.83661
3,16384,422.374596
3,32768,668.040369
4,128,28.248782
4,256,47.311713
4,512,78.496508
4,1024,130.509454
4,2048,216.061785
4,4096,360.972723
4,8192,604.345306
4,16384,1009.359139
4,32768,1688.354478
